main_category,sub_category,Factor,spearman_correlation,p_value_for_spearman
MARKETING CHANNELS,Channels Received,Cinema Advertising,0.921,0
FINANCE,Household Annual Income,"100,000+",0.91,0
MARKETING CHANNELS,Channels Received,Email,0.909,0
DIGITAL,Regularly research on the internet,Holidays,0.906,0
MARKETING CHANNELS,Future Responses,Telemarketing,0.904,0
FINANCE,Household Annual Income,"60,000-80,000",0.895,0
FINANCE,Household Annual Income,"80,000-100,000",0.895,0
FINANCE,Household Annual Income,Average Household Income,0.893,0
FINANCE,Insurance and Pensions,Has Company Health Care,0.892,0
DIGITAL,Tablet Devices,"Has Tablet (e.g. iPad, Samsung Galaxy Tab, Sony Xperia)",0.891,0
SHOPPING,Preferred Supermarket,M & S,0.891,0
ECONOMY,NS Socio-Economic Classifications,"Higher managerial, administrative and professional occupations",0.89,0
COMMUNITY SAFETY,Crime Survey for England,Taking everything into account I have confidence in the police in this area,0.888,0
LEISURE TIME,Holiday Destination/Type,Activity / Outdoor Sports,0.888,0
ECONOMY,Social Grade,B,0.887,0
FINANCE,Expenditure per person per week,Restaurants and hotels,0.887,0
DIGITAL,Regularly research on the internet,Hotel reservations,0.887,0
DIGITAL,Sites regularly visited,Marks and Spencer,0.887,0
MARKETING CHANNELS,Channels Received,Posters,0.886,0
ENVIRONMENT,Environmental Groups,Member of Environmental Group,0.886,0
SHOPPING,Clothing & Footwear Stores,Mass Market,0.88,0
FINANCE,Financial Situation,Saving a lot,0.879,0
FINANCE,Financial Channel: Arrange considered financial product,Online,0.878,0
HEALTH,Behaviours & Lifestyle,Takes regular exercise,0.874,0
EDUCATION,England: Pupils at the end of KS2,"Achieving expected level in reading, writing and maths",0.871,1.00E-05
DIGITAL,Types of internet usage : Laptop or PC,Check stocks/shares/investments,0.87,1.00E-05
SHOPPING,Attitudes,I check a number of sources before making a significant purchase,0.867,1.00E-05
LEISURE TIME,Magazines Read,Sport,0.866,1.00E-05
MARKETING CHANNELS,Channels Received,Internet Advertising,0.863,1.00E-05
SHOPPING,Preferred Supermarket,Waitrose,0.863,1.00E-05
DIGITAL,Sites regularly visited,Notonthehighstreet.com,0.862,1.00E-05
DIGITAL,Regularly research on the internet,Books,0.861,1.00E-05
EDUCATION,England: Pupils at the end of KS4,Achieving 5+ A*-C (including English and Maths) at GCSE or equivalent,0.86,1.00E-05
EDUCATION,England: Pupils at the end of KS4,Achieving 5+ A*-C at GCSE or equivalent,0.859,1.00E-05
DIGITAL,Sites regularly visited,Moneysavingexpert.com,0.856,1.00E-05
SHOPPING,Attitudes,I am prepared to pay more for products that make life easier,0.856,1.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Book tickets via the Internet,0.854,1.00E-05
DIGITAL,Sites regularly visited,Lastminute.com,0.853,1.00E-05
DIGITAL,Regularly research on the internet,Current Accounts,0.851,1.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Listen to the radio,0.85,2.00E-05
DIGITAL,Purchased on the internet,"Household utilities (e.g. Gas, Electricity)",0.85,2.00E-05
EDUCATION,Scotland: Pupils in the S4 cohort,Attained 5 awards at SCQF level 5 and above,0.848,2.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Access news via news site (other than online newspapers),0.848,2.00E-05
DIGITAL,Purchased on the internet,Hotel reservations,0.848,2.00E-05
FINANCE,Credit Cards,Spent 500+ in last month on a credit card,0.847,2.00E-05
EDUCATION,Highest Level of Qualifications (Adults),Degree or higher degree,0.846,2.00E-05
EDUCATION,Scotland: Pupils in the S5 cohort,Attained 3 awards at SCQF level 6 and above,0.846,2.00E-05
EDUCATION,Scotland: Pupils in the S5 cohort,Attained 5 awards at SCQF level 6 and above,0.846,2.00E-05
DIGITAL,Regularly research on the internet,Sports equipment,0.846,2.00E-05
TRANSPORT,Main Car Class,Luxury or Executive,0.844,2.00E-05
EDUCATION,England: Pupils at the end of KS2,Achieving expected level in maths,0.843,2.00E-05
FINANCE,Credit Cards,Has 2+ credit cards,0.843,2.00E-05
FINANCE,Insurance and Pensions,Plans to use other investments for retirement,0.842,2.00E-05
SHOPPING,Furniture & Fittings Stores,Premium,0.842,2.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Read newspapers online,0.841,2.00E-05
DIGITAL,Purchased on the internet,"Other Insurance (e.g. Life, Travel)",0.839,3.00E-05
MARKETING CHANNELS,Future Responses,Internet Advertising,0.836,3.00E-05
FINANCE,Expenditure per person per week,Total Online Expenditure,0.835,3.00E-05
SHOPPING,Food Shopping,Fairtrade,0.835,3.00E-05
LEISURE TIME,Daily Newspapers,Daily Telegraph,0.834,3.00E-05
DIGITAL,Regularly research on the internet,"Other Insurance (e.g. Life, Travel)",0.833,3.00E-05
SHOPPING,Preferred Supermarket,Sainsburys,0.831,4.00E-05
ECONOMY,NS Socio-Economic Classifications,"Lower managerial, administrative and professional occupations",0.83,4.00E-05
LEISURE TIME,Charities,Regularly donate to charity,0.83,4.00E-05
ECONOMY,Social Grade,A,0.828,4.00E-05
FINANCE,Financial Channel: Arrange considered financial product,By phone,0.828,4.00E-05
DIGITAL,Internet Access: Usage in Last Week,8-19 hours,0.828,4.00E-05
FINANCE,Expenditure per person per week,Total Expenditure,0.825,5.00E-05
ENVIRONMENT,Action,Rarely keep the tap running while brushing teeth,0.825,5.00E-05
EDUCATION,England: Pupils at the end of KS2,Achieving expected level in writing,0.824,5.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Manage personal finances (banking) via the Internet,0.821,5.00E-05
DIGITAL,Regularly research on the internet,Beer/Wine/Spirits,0.821,5.00E-05
DIGITAL,Purchased on the internet,Savings/Investments,0.82,6.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Read someone elses blog,0.819,6.00E-05
EDUCATION,England: Pupils at the end of KS2,Achieving expected level in reading,0.818,6.00E-05
DIGITAL,Regularly research on the internet,Eating out,0.818,6.00E-05
DIGITAL,Regularly research on the internet,Airline tickets,0.818,6.00E-05
SHOPPING,Attitudes,It's worth paying extra for quality goods,0.817,6.00E-05
DIGITAL,Types of internet usage : Laptop or PC,Book tickets via the Internet,0.816,6.00E-05
DIGITAL,Purchased on the internet,Holidays,0.816,7.00E-05
DIGITAL,Regularly research on the internet,Tickets for events/cinema/theatre,0.815,7.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Send and receive personal emails,0.813,7.00E-05
DIGITAL,Purchased on the internet,Books,0.812,8.00E-05
LEISURE TIME,Restaurants - Most Often,Premium,0.812,8.00E-05
DIGITAL,Regularly research on the internet,Savings/Investments,0.811,8.00E-05
FINANCE,Financial Situation,Saving,0.81,8.00E-05
DIGITAL,Technology at Home,"Has a smartwatch, fitness band or payment band",0.81,8.00E-05
SHOPPING,Attitudes,I tend to go for premium rather than standard goods/services,0.809,8.00E-05
FINANCE,Credit Cards,Has credit card,0.807,9.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Take pictures/video clips,0.807,9.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Watch TV/films/video clips via the Internet,0.807,9.00E-05
DIGITAL,Types of internet usage : Tablet / iPad,Donate to charity,0.806,9.00E-05
DIGITAL,Purchased on the internet,Tickets for events/cinema/theatre,0.804,0.0001
DIGITAL,Sites regularly visited,bbc.co.uk,0.804,0.0001
DIGITAL,Sites regularly visited,johnlewis.com,0.804,0.0001
DIGITAL,Sites regularly visited,Tripadvisor,0.803,0.00011
SHOPPING,Electrical Stores,Premium,0.803,0.0001
